Variable,Source,1990,1995,2000,2005,2010,2014,2015
CH4_per_animal,Enteric Fermentation,1,1.043517679,1.087035358,1.124206709,1.16137806,1.153218495,1.170444243
Milk_per_animal,Enteric Fermentation,1,1.117691154,1.235382309,1.290271531,1.345160753,1.341329335,1.388972181
Milk_EI_perDM,Enteric Fermentation,1,0.939959092,0.879918184,0.871646553,0.863374922,0.859757902,0.84266932
CH4_per_animal,Manure Management,1,1.106870229,1.213740458,1.374045802,1.534351145,1.583969466,1.610687023
Milk_per_animal,Manure Management,1,1.117691154,1.235382309,1.290271531,1.345160753,1.341329335,1.388972181
Milk_EI_perDM,Manure Management,1,0.991240829,0.982481657,1.061563424,1.140645192,1.180895269,1.159625114
LU_per_animal,Enteric Fermentation,1,0.988956789,0.895624812,0.846021721,0.889438875,0.934493411,0.953306355
LU_per_animal,Manure Management,1,0.988956789,0.895624812,0.846021721,0.889438875,0.934493411,0.953306355
Milk_EI_perHa,Enteric Fermentation,1,1.031993894,0.973575839,0.951103295,1.032974795,1.077675085,1.115791935
Milk_EI_perHa,Manure Management,1,1.094646828,1.08705607,1.162472594,1.364711556,1.48020903,1.535478174
Crop_Yield,Agricultural Soils,1,1.111457633,1.130956639,1.127265704,1.225919515,1.298078711,1.252170927
N_AppRate,Agricultural Soils,1,1.110638298,1.034042553,0.961702128,0.923404255,0.940425532,0.931914894
Cropland,Agricultural Soils,1,0.985875706,1.074858757,1.026836158,0.974576271,0.947740113,0.940677966
Crop_EIAdm,Agricultural Soils,1,0.999262828,0.914307868,0.85312817,0.753233996,0.724474967,0.744239363
Crop_EIAha,Agricultural Soils,1,1.110638298,1.034042553,0.961702128,0.923404255,0.940425532,0.931914894
